StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q36,Q37,Q30,Q22,Q23,Q24,Q3,Q4,Q16_1,Q16_2,Q1_1,Q1_2,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8,Q9,Q21,Q27,Q30.1,Q31,Q32,Q31_1,Q31_2,Q32_1,Q32_2,Q14,Q15,Q26,Terminate,llm,participantId,assignmentId,projectId,start_time,end_time,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate
6/7/2024 1:40,6/7/2024 1:49,IP Address,75.87.205.121,100,571,TRUE,6/7/2024 1:49,R_1sNffxFj454pHDb,,,,,44.3335,-88.4388,anonymous,EN,1,Joe Biden,,I like Doctor Zhivago because of the political story and the love stories. I also love the scenes of snowy mountains in the countryside.,Somewhat closely,A few times a month,Listen to the conversation more than lead,Strong Democrat,,100,0,10,0,A little,More concerned than excited,Not sure,Not sure,AI hurts more than it helps,A little,"Yes, I have done this","I prefer Joe Biden because he believes in democracy. I support Joe Biden because he cares about the citizens, whereas Trump does not. I support Biden because he is not a convicted not, where Trump is. I support Joe Biden because he loves our country whereas Trump only cares about himself. I support Biden because he is smart, whereas Trump is a boasting braggart.",Biden understands economics enough to support legislation that will bolster the ability to live a reasonable life with enough money to live. Trump cares about himself so that he can enrich himself in his Presidency by manipulating the laws and selling out the US to foreign dictators.,"On healthcare, Biden supports the Affordable Care Act, whereas Trump does not. Trump and all Republicans want to repeal the ACA.","Biden has a more reasonable approach to immigration -- he would allow some immigrants to follow a path to citizenship. Trump, on the other hand, has the absurd idea of building a physical wall to stop people from crossing the border.","Trump is a nationalist, he wants to leave NATO. He cozies up to dictators like Putin and Orban and Kim Jong-Il. Biden, on the other hand, supports NATO and has a reasonable approach to cooperating with other democratic nations to support Ukraine in the war with Russia.",100,0,10,0,Strong Democrat,,none,F,none,8B045A74597B47FCB5FFAE595C7422DB,e949d274-b2e2-450e-90da-a60e4cd55067,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 1:40,6/7/2024 1:57,IP Address,99.8.109.220,100,1024,TRUE,6/7/2024 1:57,R_1o6IZcDh7XvaYVq,,,,,38.8113,-121.2643,anonymous,EN,0.899999976,Joe Biden,,My favorite movie is 'Call Me by Your Name' because I think it offers deep and beneficial perspective on life struggles and romantic struggles. It is full of life lessons learned by the characters that are relatable and thought-provoking. It leaves the viewer with a forlorn feeling of what the life of the characters could be like had things played out differently.,Somewhat closely,A few times a week,Listen to the conversation more than lead,Somewhat Democrat,,100,0,8,0,A lot,More excited than concerned,AI hurts more than it helps,AI helps more than it hurts,AI helps more than it hurts,A lot,"Yes, I have done this",I think Donald Trump is a liar and a criminal. He ignores the well-being of the majority in favor of the wealth minority. He is not concerned with fairness and equality and that is detrimental. He seeks to advance a dictator style approach that would suppress personal freedoms.,Trump seeks for minimal taxes for the wealthy and allowing businesses less regulation. Biden seeks to tax the wealthy more and regulate businesses more heavily.,"Trump believes in privatized healthcare. On the other hand, Biden supports a more universal healthcare that allows easier access to all.",Trump believes we should reduce immigration and make it harder for immigrants to acquire citizenship. Biden believes we should allow a fair immigration process yet still regulate immigration moderately.,"From what I understand, Trump seeks to advance and further fund security and foreign policies. He thinks the US should have a firm hand in international relations. Biden has a more moderate view yet still prioritizes security and international relations.",100,0,8,0,Somewhat Democrat,,None,F,none,DAADFB1AC52749F7B58B8F1D754D310D,a80b964a-3091-4ca8-9e53-5dc6dcdc885e,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 1:51,6/7/2024 1:58,IP Address,73.157.138.77,100,422,TRUE,6/7/2024 1:58,R_3mQpTfJtY2P7N3C,,,,,44.9466,-123.0105,anonymous,EN,1,Vote for neither,Lean more toward Biden,"My favorite movie is called Benny Loves You. I'm not really sure why it appeals to me so much, but something about the silly levels of gore and ridiculousness mixed with dark humor really appealed to me. Benny is also adorable and makes me happy!",Somewhat closely,A few times a month,Listen to the conversation more than lead,Strong Democrat,,100,0,5,0,A lot,Equally concerned and excited,AI hurts more than it helps,AI helps more than it hurts,Not sure,A lot,"Yes, I have done this","Plainly, I don't actually like Biden very much. The problem is, when you vote you generally have to vote either Democrat or Republican, as the other parties never win. That effectively Pidgeon-holes you into voting for one of two candidates. I would vote for Biden purely because he is closer to representing my beliefs, despite his shortcomings, and the fact that he isn't Trump-- a villain, who has been charged as such.","This is something I admittedly need to look into. However, I do know that Trump claims he fixed everything and everyone likes to blame Biden for everything... But Trump is actually the culprit in many ways.","I don't know the exact policies, but I do know that Biden has closer views to my own. I feel like Trump messed up what Obama put in place to help people.","I think that Biden is being a bit too lax, even if it's closer to my own views. Trump, however, has this extreme mentality that ALL immigrants are bad, and strange visions of grandeur involving other countries paying for the wall.","I'm not 100% sure, to be honest. This is something I would need to look more into.",100,0,5,0,Strong Democrat,,"Not at this time, though I appreciate the opportunity!",F,none,0F529642757B4606A66218234DB33233,3e4af8d7-68dc-41e7-bf57-aef81e17b116,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 1:49,6/7/2024 1:58,IP Address,24.117.17.2,100,571,TRUE,6/7/2024 1:58,R_7rGVNzypCQpWupv,,,,,43.4777,-111.9726,anonymous,EN,1,Joe Biden,,My favorite movie is the Wizard of Oz because it is such a great story. I like the dog a lot in the film and think that Dorothy is really great. I also like the Wicked Witch character a lot and the trees are really funny.,Very closely,A few times a week,Listen to the conversation more than lead,Somewhat Democrat,,100,0,10,0,A lot,More excited than concerned,AI helps more than it hurts,AI helps more than it hurts,Not sure,A lot,"No, I have not done this",Joe Biden is a reasonable person while Donald Trump is not. Joe Biden is an experienced politician while Donald Trump is not. I also lean towards Joe Biden because he is not an arrogant person like Donald Trump can be.,I think that Joe Biden supports economic support for the poor and unemployed in the United States of America as well as for technology companies. I think that Donald Trump likely does not agree with the policies that Joe Biden has on economics. I think that Joe Biden is supportive of student loans and economic benefits through education.,I think that Joe Biden supports the healthcare policies established by Barack Obama in his terms of office. I think that Trump likely does not support the state healthcare exchanges. I think that Biden likely wants to increase access to medications while Trump does not.,I think that Trump wants to build a wall around the border of the United States of America. I think that Biden wants to increase legal immigration in America while Trump does not. I think that Biden would not put up a wall around America to stop immigration.,I think that Joe Biden supports Ukraine and would provide more foreign aid to support their efforts. I think that Trump would likely zero out all foreign aid and be more likely to start a war of aggression. I think that Joe Biden would be more willing to use diplomacy to resolve foreign policy and national security issues.,100,0,10,0,Somewhat Democrat,,I have no other comments to share about this experiment.,F,none,8531C4436D594873B71C6D500167440C,319ed67a-0923-4ad3-a72d-1f134d3f21c4,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 1:46,6/7/2024 1:59,IP Address,73.41.212.11,100,744,TRUE,6/7/2024 1:59,R_13dhpktFFfsVuPG,,,,,38.768,-121.3349,anonymous,EN,1,Joe Biden,,My favorite movie is the Zodiac because it has a lot of suspense that keeps me on the edge of my seat. It has twists and turns and mysterious music that adds to the atmosphere.,Somewhat closely,A few times a week,Lead the conversation more than listen,Somewhat Democrat,,90,10,7,3,A moderate amount,Equally concerned and excited,AI hurts more than it helps,AI hurts more than it helps,Not sure,A moderate amount,"Yes, I have done this",I lean towards Biden because we both believe in investing in renewable energy. I think humans are a big cause of climate change and we should be doing more to be less reliant on harmful oil and gas. I think the Biden has done more to promote alternative energies and is less supportive of the oil industry than Trump.,They both have similar policies where the want companies to return factories to america. i think Trump wants less taxes on larger companies while BIden proposes to increase taxes on them.,Trump wants to privatize healthcare and strip away medicare and medi-caid. Biden wants to expands both so that a lot more people have health care access. ,Biden is not a stringent when it comes to immigration. he support providing a pathway to citizenship and for dreamers who are already here. Trump on the other hand wants to make it much harder for people to become legal citizens.,Biden's foreign policies are maintaining a close relationship with traditional allies like europe and ukraine. trump is different because he gravitates more towards russia and north korea. he wants to take us out of NATO so then we get rid of allies that have been traditionally our friends.,80,20,5,4,Somewhat Democrat,,none,F,none,416EBD8D331F46B39221A4C38A815F35,3d63c88e-404d-4115-9c61-c512858c4eaf,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 1:57,6/7/2024 2:04,IP Address,47.152.2.106,100,405,TRUE,6/7/2024 2:04,R_5WNoAXXZCucb0KW,,,,,33.6927,-117.303,anonymous,EN,1,Joe Biden,,"I would probably  have to choose the Bobs Burgers movie. Not because I think the movie is a masterpiece, but more so because of the love for the series in whole. ",Somewhat closely,Less often,Listen to the conversation more than lead,Somewhat Democrat,,100,0,4,0,A moderate amount,More concerned than excited,AI hurts more than it helps,AI helps more than it hurts,AI hurts more than it helps,A moderate amount,"No, I have not done this",One of the reasons is because I am gay and asian. I feel that Joe Biden would protect my rights more than Trump would,"I have no idea about economics. However, my dad is an accountant and he doesn't like Trump's tax policies. ",I would assume Trump is for privatized healthcare while Biden is for universal. I don't know exactly but that's my guess,"Trump is famously known for his wall campaign. And I know his administration was not very kind to immigrants. I disagree, I believe we should treat immigrants with kindness and lessen the difficulty of becoming a citizen. ","I don't have any clue. I don't care as long as a war isn't started, which I remember there being rumors about Trump almost starting one. ",100,0,3,0,Somewhat Democrat,,,F,none,2059CE2DD31B45DB9841E8C4C57A70C9,37673891-235b-4d6b-8f9f-61e7ce7a5bda,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 2:02,6/7/2024 2:06,IP Address,217.216.226.112,100,215,TRUE,6/7/2024 2:06,R_80OVr1oh7gzv0uV,,,,,37.3539,-5.9936,anonymous,EN,1,Vote for neither,Lean more toward Biden,"I like pride and prejudice. It has a lot of good romance, music, and acting. ",Not at all closely,Less often,Never talk with friends and family about politics,Strong Democrat,,100,0,5,0,None at all,,,,,None at all,,"I think Biden is less racist, homophobic, and sexist. I also think he is more professional than Trump.","I think Biden is less greedy than Trump. Trump tends to focus on tax cuts and things that help the rich, which is selfish. ","I think Biden is kinder when it comes to healthcare. Trump doesn't support universal free healthcare, which is dangerous to poor Americans. ","I think Trump is mean when it comes to immigration. He doesn't have remorse for immigrants, unlike Biden who atleast is more considerate. ","I think Trump is very agressive and flashy when it comes to foreign policy. This can be danerous, so it's safer to use someone who has a softer view. ",100,0,4,0,Strong Democrat,,,F,none,07CB55A4B0EF4F969562F92636F194C4,1681235b-036b-4384-b37b-4802b5a79fdc,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 1:58,6/7/2024 2:06,IP Address,143.109.135.99,100,475,TRUE,6/7/2024 2:06,R_7sH7UE0X1vrvwqt,,,,,35.3856,-96.9369,anonymous,EN,1,Joe Biden,,My favorite movie is Good Will Hunting. I think the acting is amazing. I love Robin Williams. I also feel like the characters and their story are beautiful.,Somewhat closely,A few times a week,Lead the conversation more than listen,Strong Democrat,,100,0,6,0,A moderate amount,More excited than concerned,AI helps more than it hurts,AI helps more than it hurts,AI helps more than it hurts,A lot,"Yes, I have done this",Joe biden enacts policies I agree with. He brings our country closer to the prosperity other first world countries enjoy. ,"Biden believes in growing our economy, bringing inflation down, and making life for Americans better. Trump says he believes in a lot of things but he is mostly concerned with lowering taxes for the rich, and getting rid of any necessary regulations prevent companies from damaging people and our environment.",I am not completely sure of Bidens stance on healthcare but I assume it aligns somewhat with the leftist idea that health care should be free or less expensive. Im sure trump however would like to keep things as they are because it allows health insurances companies to profit while making people believe somehow that its better and they are not still paying for other peoples healthcare through the insurance company.,Trump wants to get rid of legal pathways of immigration and claims to want no illegal migrants. Biden wants to reinforce and reinstate legal ways to migrate while still keeping the border secure.,Trump caters to foreign powers so it mostly depends on their agendas. Biden wants to keep America strong financially and secure while also keeping peace in the world.,100,0,7,0,Strong Democrat,,,F,none,A7136440AEEF4FF1B77B36B47E2DD30D,94e9ff27-5168-4b17-b798-38156139887b,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 1:47,6/7/2024 2:08,IP Address,191.96.227.161,100,1212,TRUE,6/7/2024 2:08,R_11Km4mmgfr0TcQy,,,,,40.7123,-74.0068,anonymous,EN,0.899999976,Joe Biden,,My favorite movie is black panther. I like it because it shows a strong and smart hero T'Challa who fights to protect his people and his land. The movie also has great scenes and showcased a powerful message about peace and unity.,Very closely,Nearly every day,Lead the conversation more than listen,Strong Democrat,,70,30,10,5,A lot,More excited than concerned,AI helps more than it hurts,AI helps more than it hurts,AI helps more than it hurts,A lot,"Yes, I have done this",I lean towards Joe Biden more than Donald Trump because I believe Biden is more focused on helping everyone get along and making fair decisions.,"Biden's policy aims to help working people by creating more jobs and raising the minimum wage. On the other hand, Donald Trump's policy focus more on helping business grow by cutting taxes and reducing regulations.","Joe Biden wants to make healthcare more affordable and expand access, building on the affordable care act. Donald Trump aimed to repeal the affordable care act and promote private healthcare options.",Joe Biden wants to make it easier for immigrants to become citizens and treats them more kindly while Donald Trump focused on stricter immigration rules and building a border wall.,Joe Biden focuses on working other countries and building strong alliances to keep peace while Donald Trump emphasized on putting America first and being tough on trade deals and military strength.,70,30,10,5,Strong Democrat,,,F,none,AD20A5345C2C48678BC0560128746112,e00138b7-21c4-44bc-b59e-b99b34c2eb98,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
6/7/2024 1:59,6/7/2024 2:08,IP Address,107.19.1.54,100,512,TRUE,6/7/2024 2:08,R_3p3lRStcQGBcLBv,,,,,28.6035,-96.6262,anonymous,EN,1,Vote for neither,No lean at all (perfectly balanced),My favorite movie for me is The Island because it is a good action movie. It is about a huge cloning operation that is run underground. I like the actors as well.,Somewhat closely,A few times a month,Lead the conversation more than listen,Independent,No lean at all (perfectly balanced),50,50,0,0,A lot,Equally concerned and excited,AI helps more than it hurts,AI helps more than it hurts,AI helps more than it hurts,A lot,"Yes, I have done this",I really don't vote for people like them. I really don't like either of them. They are doing a horrible job representing America.,Yes. I like Trump's economic policy better. I think his policy will bring back America a little bit. Biden has been putting us in lots of debt and high cost of living.,Yes. I like Trump's policy because they do not like abortions. Biden is all for abortions and I hate that. I think Trump will help out Americans more.,Yes. Trump wants to put a wall to stop immigrants from coming to America. I do not mind that because we are being taken over by them thanks to Biden.,I am not really familiar with this policy. I would say Trump will still have a better policy than Biden. Biden seems weak in all he does.,50,50,0,0,Independent,No lean at all (perfectly balanced),very interesting,F,none,B328D7890C6C4C1A9CD1168BB13E3ADE,fb0fcad3-06b3-4881-a7e3-62edf036f154,04fb86e7-3d21-4dbd-95e9-0f5bcbba79ed,1.71775E+12,1.71775E+12,,,,
