StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q36,Q37,Q30,Q22,Q23,Q24,Q3,Q4,Q16_1,Q16_2,Q1_1,Q1_2,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8,Q9,Q21,Q31_1,Q31_2,Q32_1,Q32_2,Q14,Q15,Q28,Q31,Q29,Q34,Q27_1,Q27_2,Q27_3,Q27_4,Q35,Q26,Terminate,llm,participantId,assignmentId,projectId,start_time,end_time,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate
5/17/2024 19:31,5/17/2024 19:41,IP Address,73.203.167.210,100,609,True,5/17/2024 19:41,R_3b6FBu8Y4JO9ww9,,,,,32.5612,-92.0365,anonymous,EN,0.899999976,Joe Biden,,My favorite movie is Yellow Submarine. I like it because I like the colors and the music.,Not too closely,A few times a month,Listen to the conversation more than lead,Somewhat Democrat,,100,0,2,0,A moderate amount,More concerned than excited,AI hurts more than it helps,Not sure,AI hurts more than it helps,A moderate amount,"Yes, I have done this",I like preserving what little rights I have as a woman in America. I feel like Joe Biden at least won't completely erode my rights like Trump would.,100,0,2,0,Somewhat Democrat,,A little,It reinforced how I already felt,Somewhat satisfied,The AI conversation was about the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,The same,,F,llama,FFC25194C04B4FBAA3C1E9947C2118D9,6f9b67b1-87bd-4b80-a3d1-c4487909d08e,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 19:31,5/17/2024 19:45,IP Address,71.220.30.242,100,881,True,5/17/2024 19:45,R_39gFmXohayXLwaG,,,,,30.3958,-83.2879,anonymous,EN,0.899999976,Joe Biden,,My favorite movie is 13 going on 30. I think it is touching and heartfelt. I love the characters and how their relationships develop. ,Not too closely,A few times a month,Listen to the conversation more than lead,Strong Democrat,,100,0,5,0,A little,Equally concerned and excited,Not sure,AI helps more than it hurts,AI hurts more than it helps,A moderate amount,"Yes, I have done this",I am concerned with Trump being able to place more conservative justices on the supreme court.,100,0,5,0,Strong Democrat,,None at all,I would not vote for Trump regardless. My mind is 1000% made up that I will vote for Biden because of the Supreme Court. That just cannot be swayed. ,Somewhat satisfied,The AI conversation was somewhat better,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,The same,,F,llama,D251B2B77C654E4F9328AAD624DC6639,183a247d-01a1-409d-b100-84c8547afdba,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 19:31,5/17/2024 19:45,IP Address,24.12.68.178,100,889,True,5/17/2024 19:45,R_30wTpffgjghwOhu,,,,,41.9703,-87.664,anonymous,EN,0.899999976,Joe Biden,,My favorite movie is Clueless. It's sweet and funny with excellent fashion. It's directed by a woman and stars mostly women. It's a timeless comedy. ,Very closely,A few times a week,Lead the conversation more than listen,Strong Democrat,,100,0,6,0,A moderate amount,More concerned than excited,AI hurts more than it helps,AI helps more than it hurts,AI hurts more than it helps,A moderate amount,"Yes, I have done this","Donald Trump is a fascist who, if elected, will likely try his hardest to ensure no truly democratic election happens again while he is still alive. He will lie and harm others to maintain power. I'm not the biggest fan of Joe Biden: he's not even close to progressive enough for me as a strong leftist. I've appreciated some of his policies while I think others have been terrible. But he's not Donald Trump. So I'll vote for him. ",100,0,6,0,Strong Democrat,,None at all,"It certainly helped to solidify both my criticisms and positive feelings towards Biden, nothing was going to make me lean more towards Trump and very little was likely to make me ""like"" Biden more than I do currently. ",Somewhat satisfied,The AI conversation was about the same,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,The same,,F,llama,46CDFE2003CD493F821C960EE91262AC,8ac97cac-e06c-4b5c-b745-94ad4e7c6e6a,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 19:30,5/17/2024 19:45,IP Address,73.129.198.190,100,922,True,5/17/2024 19:45,R_3F3cO7oWWlU9ZzR,,,,,39.5125,-76.1806,anonymous,EN,1.0,Joe Biden,,My favorite is Rosemary's Baby. I love the original and the way NYC is shown.,Very closely,Nearly every day,Lead the conversation more than listen,Somewhat Democrat,,100,0,10,0,A moderate amount,Equally concerned and excited,AI helps more than it hurts,AI helps more than it hurts,Not sure,A lot,"No, I have not done this",I like his policies and his outlook towards humanity. He feels the same way as I do about our world.,100,0,10,0,Strong Democrat,,A little,I already felt Biden was the best candidate.,Very satisfied,The AI conversation was much better,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Now much more favorable,,F,llama,4B21D4F3BA264D51A1AA27A86162388F,9bad8e74-11b7-434b-ba2f-3c969ac970d9,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 19:31,5/17/2024 19:48,IP Address,150.221.174.182,100,999,True,5/17/2024 19:48,R_1g8u6BAWRDn1BWp,,,,,33.0809,-96.7241,anonymous,EN,0.899999976,Joe Biden,,"My favorite movie is the Princess Bride. It is the quintessential 80s movie. It's hysterical, but the comedy is really intelligent, too. It has great actors, and I watch it basically any time it comes on tv. I think it's a great movie to share with my kids so they can see what kind of movies I watched growing up.",Somewhat closely,A few times a month,Listen to the conversation more than lead,Strong Democrat,,100,0,8,0,A lot,More excited than concerned,AI helps more than it hurts,AI helps more than it hurts,AI helps more than it hurts,A lot,"Yes, I have done this","Trump is ridiculous. Everything he says is about him, his ego, what he thinks he's done for the country, and how great he is. An elected leader should be selfless and serve the people. Biden is dealing with inflation, and a lot of people don't support some of the things he done (student loan forgiveness, etc) but overall he has done more for the country than Trump ever could. Also, Trump is a criminal and a rapist and the idea that he could be elected president again is enough to make me think our country is a joke.",100,0,9,0,Strong Democrat,,None at all,"I think it's interesting the way AI agreed with me on all points and basically echoed everything I said. I expected a more neutral stance, but whatever. Point is, I was already decidedly pro-Biden before we started, and I can't support him more than 100% based on this conversation. I'm already literally maxed out. ",Neither satisfied nor dissatisfied,The AI conversation was about the same,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Now somewhat less favorable,"Why did it just parrot me? Why no pushback? I don't AI to be an echo chamber; I'd rather be challenged and made to think critically about my views. I mean, I don't want it to tell me Trump is great, but at least criticize Biden maybe a little more? ",F,llama,4A4B96E4A0B5496FAF82FD103651405F,7bc895c8-f5f4-4427-8904-af1356f28f70,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 19:30,5/17/2024 19:48,IP Address,72.17.88.13,100,1093,True,5/17/2024 19:48,R_6gd8OaXwhyd4Vx8,,,,,27.96,-82.4614,anonymous,EN,1.0,Joe Biden,,"Whenever I get asked this my go-to answer is Coherence. It's a low-budget movie, but it did make me really think and felt very intrigued that's why I always say that's my favorite movie even though I don't remember the scenes anymore as it's been a decade.",Somewhat closely,A few times a month,Lead the conversation more than listen,Strong Democrat,,100,0,8,0,A lot,More concerned than excited,AI hurts more than it helps,AI hurts more than it helps,AI hurts more than it helps,A lot,"Yes, I have done this",Joe Biden is not my favorite but at least he's a decent politician compared to Trump who has divided this country and is a constant threat to democracy. ,100,0,8,0,Strong Democrat,,None at all,"I feel like I was the one persuading the AI, not it. I think all it said was ""I agree Biden has done something, but do you think it's enough?""",Neither satisfied nor dissatisfied,The AI conversation was about the same,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,The same,Thank you!,F,llama,BD76FAAD76234B99943F0CF92EBEA383,8e18321f-191d-4e7a-8b0b-23808f735ae7,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 19:31,5/17/2024 19:50,IP Address,24.8.195.181,100,1197,True,5/17/2024 19:50,R_1L3MnyvOjpocoXn,,,,,39.6124,-104.8804,anonymous,EN,0.899999976,Joe Biden,,My favorite movie would be Lord of the Rings and the Fellowship of the Ring. It sets the tone for an amazing trilogy with a stellar cast. The movie does a great job of feeling like you are being sucked into the world of Middle earth. ,Very closely,A few times a week,Listen to the conversation more than lead,Strong Democrat,,100,0,8,0,A moderate amount,Equally concerned and excited,Not sure,AI helps more than it hurts,Not sure,A moderate amount,"No, I have not done this","I lean more towards Joe Biden because the democratic platform is more in line with my personal values. I believe that women should have the only say in their healthcare, that everyone should be able to free to live how they want (barring certain illegal activities), that we should support workers with stronger unions and because I think the wealthy should contribute more to society than hoarding wealth.",100,0,8,0,Strong Democrat,,None at all,I was already strongly in support of Biden in the upcoming election and feel the same after the conversation.,Very satisfied,The AI conversation was somewhat better,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Now somewhat more favorable,This was an interesting interaction with AI chat. I have not had much exposure before and I was surprised at the thoroughness and organic nature of the conversation.,F,llama,BEF221BD24F3446AA29C0534100AF251,a4c31be1-5bbc-4614-bfd7-f88097dd79d1,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 19:30,5/17/2024 20:12,IP Address,71.83.65.25,100,2484,True,5/17/2024 20:12,R_3ZtsUkdWn2MHoZP,,,,,35.6598,-83.9867,anonymous,EN,1.0,Joe Biden,,Robocop - It tells about the injustices of big corporations and the common man keeping their dignity and integrity ,Not at all closely,Less often,Never talk with friends and family about politics,Independent,No lean at all (perfectly balanced),100,0,5,5,A moderate amount,Equally concerned and excited,AI helps more than it hurts,Not sure,AI hurts more than it helps,A little,"Yes, I have done this","Simply put, nothing Donald Trump stands for makes any sense to me and goes completely against my interests. Joe Biden is ironically the lesser of two evils.",100,0,5,5,Independent,No lean at all (perfectly balanced),None at all,"The AI mostly agreed with me, so I don't see what I actually got out of conversing with it. It didn't change my mind whatsoever.",Neither satisfied nor dissatisfied,,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,The same,,F,llama,03FADD64E13F4660923E98088E95B936,a2d43c08-e5f3-4c0f-8e74-beb45472a5d7,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 21:09,5/17/2024 21:30,IP Address,98.165.173.63,100,1268,True,5/17/2024 21:30,R_7UL6DVUr1WMX4MF,,,,,32.1702,-110.9719,anonymous,EN,1.0,Joe Biden,,"My favorite movie is 2001 by Arthur C Clark. I really enjoyed the book and the entire series of books actually. When I first watched the film I wash blown away. The first 20 minutes of the movie has no dialog or any real explanation of what is going on. It was not built as a movie for the masses, rather for people looking to find an intellectual experience. Everyone hates the noise that the monoliths make. Heh!",Very closely,A few times a week,Listen to the conversation more than lead,Independent,Democrat,100,0,7,0,A lot,Equally concerned and excited,AI helps more than it hurts,AI helps more than it hurts,AI hurts more than it helps,A lot,"Yes, I have done this",We can skip the extreme left and right nonsense. Donald Trump is in fact a bad person at the core. His being a republican and what should be reasonable republican values are not the issue. Claiming you can grab a woman by the pussy because you are famous is enough reason to not want him representing this country.,100,0,7,0,Independent,Democrat,None at all,"Yeah, because once I pointed out that Trump said that he can be a sexual predictor and there is no way around it, the AI offered up Mitt Romney. There is no box for supporting Romney as he also is not running.",Somewhat dissatisfied,The AI conversation was somewhat better,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,The same,"I think you should read how that went and my comments! AI is so much better to deal with compared to humans. When you point out facts, and the AI can reference why I am saying that. It has no choice but to go along. Thats why it offered up Mitt as an alternative. Too bad Mitt is not on the ballot.",,llama,38FFA90A2CDE4349BED7D0EE43465952,4ceaf7e4-b46c-4b52-92c1-9cdfbede942c,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716000000000.0,1716000000000.0,,,,
5/17/2024 22:31,5/17/2024 22:47,IP Address,96.41.109.83,100,971,True,5/17/2024 22:47,R_6WvQTKqZTAu78BB,,,,,34.1021,-118.0474,anonymous,EN,1.0,Joe Biden,,My favorite movie is A Walk to Remember. I like this movie because the actress is Mandy Moore and I'm a fan of hers. I also like this movie because it's romantic. ,Not too closely,Less often,Never talk with friends and family about politics,Somewhat Democrat,,100,0,7,0,A moderate amount,Equally concerned and excited,AI helps more than it hurts,AI helps more than it hurts,Not sure,A little,"Yes, I have done this","Donald Trump has a bad personality. In addition, he is a criminal. He has committed crimes, but because he's rich, he's unpunished. Also he's arrogant and even racist. The man is not smart at all, he may be a good businessman, but not a good politician. ",100,0,9,0,Somewhat Democrat,,A little,"I feel like no matter what the AI said, I would have 100 percent leaned Biden. However, I think the AI made my feelings of positivity for Biden a bit stronger. Interacting with AI made me like Biden even more and hate Trump even more. ",Very satisfied,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Now somewhat more favorable,Trump sucks!!!,F,llama,0784E5B7BBB948E7B4D7FC1352099E5B,36f2c37c-425e-4387-92b2-876cd0ad8a84,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
