model,task,setup,diff,pval,dependent_var
Gemma,classification,base-control,4.06e+00,6.49e-10,equality
Gemma,classification,base-target,8.93e+00,0.00e+00,equality
Gemma,classification,control-target,4.86e+00,2.91e-09,equality
Gemma,summarization,base-control,1.11e+00,2.35e-01,equality
Gemma,summarization,base-target,-1.17e-01,9.86e-01,equality
Gemma,summarization,control-target,-1.22e+00,3.21e-01,equality
Gemma,conversational,base-control,-2.15e+00,4.40e-04,equality
Gemma,conversational,base-target,-5.53e+00,0.00e+00,equality
Gemma,conversational,control-target,-3.37e+00,4.63e-08,equality
Gemma,qa,base-control,-8.77e-01,2.86e-01,equality
Gemma,qa,base-target,7.06e+00,4.07e-12,equality
Gemma,qa,control-target,7.94e+00,1.70e-14,equality
Llama,classification,base-control,4.07e+00,3.56e-07,equality
Llama,classification,base-target,1.22e+01,0.00e+00,equality
Llama,classification,control-target,8.11e+00,3.02e-14,equality
Llama,summarization,base-control,1.70e+00,3.83e-02,equality
Llama,summarization,base-target,3.85e+00,3.55e-04,equality
Llama,summarization,control-target,2.15e+00,6.13e-02,equality
Llama,conversational,base-control,1.05e+01,8.44e-15,equality
Llama,conversational,base-target,3.15e+00,1.77e-04,equality
Llama,conversational,control-target,-7.33e+00,2.32e-13,equality
Llama,qa,base-control,7.51e+00,2.23e-09,equality
Llama,qa,base-target,6.03e-01,7.11e-01,equality
Llama,qa,control-target,-6.91e+00,4.76e-08,equality
Falcon,classification,base-control,4.17e+00,2.21e-07,equality
Falcon,classification,base-target,3.47e+00,7.52e-07,equality
Falcon,classification,control-target,-7.00e-01,4.37e-01,equality
Falcon,summarization,base-control,1.64e+00,4.92e-02,equality
Falcon,summarization,base-target,2.29e+00,2.38e-03,equality
Falcon,summarization,control-target,6.45e-01,4.71e-01,equality
Falcon,conversational,base-control,-6.37e-01,6.79e-01,equality
Falcon,conversational,base-target,-6.68e+00,3.76e-11,equality
Falcon,conversational,control-target,-6.04e+00,6.24e-10,equality
Falcon,qa,base-control,6.00e-02,9.98e-01,equality
Falcon,qa,base-target,2.54e+00,3.85e-03,equality
Falcon,qa,control-target,2.48e+00,2.69e-02,equality
Mistral,classification,base-control,5.15e-01,6.60e-01,equality
Mistral,classification,base-target,1.06e+01,2.66e-14,equality
Mistral,classification,control-target,1.01e+01,0.00e+00,equality
Mistral,summarization,base-control,2.14e+01,7.77e-16,equality
Mistral,summarization,base-target,1.06e+01,0.00e+00,equality
Mistral,summarization,control-target,-1.08e+01,3.06e-14,equality
Mistral,conversational,base-control,1.78e+01,0.00e+00,equality
Mistral,conversational,base-target,2.98e+00,2.20e-03,equality
Mistral,conversational,control-target,-1.48e+01,2.55e-14,equality
Mistral,qa,base-control,2.06e+01,0.00e+00,equality
Mistral,qa,base-target,4.69e+00,5.16e-07,equality
Mistral,qa,control-target,-1.59e+01,0.00e+00,equality
Gemma,classification,base-control,7.12e-02,9.95e-01,nation
Gemma,classification,base-target,-6.11e+00,3.79e-13,nation
Gemma,classification,control-target,-6.18e+00,5.93e-11,nation
Gemma,summarization,base-control,-2.05e+00,9.88e-04,nation
Gemma,summarization,base-target,-6.52e+00,0.00e+00,nation
Gemma,summarization,control-target,-4.47e+00,0.00e+00,nation
Gemma,conversational,base-control,-5.50e+00,8.69e-11,nation
Gemma,conversational,base-target,-6.05e-01,5.94e-01,nation
Gemma,conversational,control-target,4.90e+00,9.80e-10,nation
Gemma,qa,base-control,-2.64e+00,5.74e-03,nation
Gemma,qa,base-target,-1.19e+01,0.00e+00,nation
Gemma,qa,control-target,-9.28e+00,0.00e+00,nation
Llama,classification,base-control,1.29e-01,9.87e-01,nation
Llama,classification,base-target,-7.12e+00,0.00e+00,nation
Llama,classification,control-target,-7.24e+00,2.61e-14,nation
Llama,summarization,base-control,-2.06e+00,1.27e-02,nation
Llama,summarization,base-target,-8.23e+00,1.75e-14,nation
Llama,summarization,control-target,-6.17e+00,4.47e-11,nation
Llama,conversational,base-control,-1.13e+01,9.10e-15,nation
Llama,conversational,base-target,-2.57e+00,1.55e-03,nation
Llama,conversational,control-target,8.70e+00,0.00e+00,nation
Llama,qa,base-control,-8.96e+00,0.00e+00,nation
Llama,qa,base-target,-8.11e+00,0.00e+00,nation
Llama,qa,control-target,8.59e-01,6.70e-01,nation
Falcon,classification,base-control,1.31e+00,4.69e-02,nation
Falcon,classification,base-target,1.33e+00,8.53e-03,nation
Falcon,classification,control-target,2.00e-02,9.99e-01,nation
Falcon,summarization,base-control,7.10e-01,2.24e-01,nation
Falcon,summarization,base-target,8.95e-01,1.86e-01,nation
Falcon,summarization,control-target,1.85e-01,9.34e-01,nation
Falcon,conversational,base-control,4.24e+00,1.14e-06,nation
Falcon,conversational,base-target,4.38e+00,2.01e-08,nation
Falcon,conversational,control-target,1.43e-01,9.87e-01,nation
Falcon,qa,base-control,2.56e+00,1.02e-04,nation
Falcon,qa,base-target,1.17e+00,1.39e-02,nation
Falcon,qa,control-target,-1.39e+00,5.07e-02,nation
Mistral,classification,base-control,2.32e+00,6.95e-04,nation
Mistral,classification,base-target,-2.30e+00,6.81e-05,nation
Mistral,classification,control-target,-4.62e+00,8.77e-15,nation
Mistral,summarization,base-control,-1.13e+01,0.00e+00,nation
Mistral,summarization,base-target,-3.88e+00,3.22e-09,nation
Mistral,summarization,control-target,7.39e+00,0.00e+00,nation
Mistral,conversational,base-control,-9.24e+00,0.00e+00,nation
Mistral,conversational,base-target,-4.80e-01,7.87e-01,nation
Mistral,conversational,control-target,8.76e+00,0.00e+00,nation
Mistral,qa,base-control,-9.23e+00,0.00e+00,nation
Mistral,qa,base-target,3.29e+00,3.26e-06,nation
Mistral,qa,control-target,1.25e+01,0.00e+00,nation
Gemma,classification,base-control,-2.55e+00,9.19e-03,liberty
Gemma,classification,base-target,7.21e+00,4.22e-15,liberty
Gemma,classification,control-target,9.76e+00,0.00e+00,liberty
Gemma,summarization,base-control,-1.83e+00,8.79e-02,liberty
Gemma,summarization,base-target,8.12e+00,2.49e-14,liberty
Gemma,summarization,control-target,9.96e+00,2.69e-14,liberty
Gemma,conversational,base-control,9.28e+00,0.00e+00,liberty
Gemma,conversational,base-target,6.90e+00,7.38e-11,liberty
Gemma,conversational,control-target,-2.38e+00,8.10e-02,liberty
Gemma,qa,base-control,-5.19e+00,1.76e-06,liberty
Gemma,qa,base-target,-3.44e+00,5.57e-04,liberty
Gemma,qa,control-target,1.75e+00,2.80e-01,liberty
Llama,classification,base-control,-1.06e+00,1.83e-01,liberty
Llama,classification,base-target,5.61e+00,4.22e-13,liberty
Llama,classification,control-target,6.67e+00,0.00e+00,liberty
Llama,summarization,base-control,-5.49e-01,6.10e-01,liberty
Llama,summarization,base-target,3.69e+00,2.37e-07,liberty
Llama,summarization,control-target,4.23e+00,1.26e-09,liberty
Llama,conversational,base-control,5.11e+00,3.92e-14,liberty
Llama,conversational,base-target,-4.07e+00,1.48e-06,liberty
Llama,conversational,control-target,-9.19e+00,0.00e+00,liberty
Llama,qa,base-control,7.56e+00,3.99e-14,liberty
Llama,qa,base-target,2.14e+00,6.95e-03,liberty
Llama,qa,control-target,-5.42e+00,1.55e-07,liberty
Falcon,classification,base-control,-3.58e+00,1.48e-09,liberty
Falcon,classification,base-target,-2.99e+00,1.40e-09,liberty
Falcon,classification,control-target,5.95e-01,6.00e-01,liberty
Falcon,summarization,base-control,-1.55e+00,1.88e-04,liberty
Falcon,summarization,base-target,-2.24e+00,1.05e-05,liberty
Falcon,summarization,control-target,-6.95e-01,3.68e-01,liberty
Falcon,conversational,base-control,-3.36e+00,1.01e-04,liberty
Falcon,conversational,base-target,-1.13e+01,1.91e-14,liberty
Falcon,conversational,control-target,-7.97e+00,3.03e-08,liberty
Falcon,qa,base-control,-6.80e+00,6.66e-15,liberty
Falcon,qa,base-target,-3.56e+00,2.52e-07,liberty
Falcon,qa,control-target,3.24e+00,4.58e-05,liberty
Mistral,classification,base-control,-4.49e+00,3.64e-14,liberty
Mistral,classification,base-target,6.51e+00,8.88e-15,liberty
Mistral,classification,control-target,1.10e+01,0.00e+00,liberty
Mistral,summarization,base-control,1.00e+01,0.00e+00,liberty
Mistral,summarization,base-target,5.60e+00,1.55e-15,liberty
Mistral,summarization,control-target,-4.43e+00,5.11e-15,liberty
Mistral,conversational,base-control,9.06e+00,3.73e-14,liberty
Mistral,conversational,base-target,1.06e+00,1.79e-01,liberty
Mistral,conversational,control-target,-8.01e+00,0.00e+00,liberty
Mistral,qa,base-control,1.28e+01,0.00e+00,liberty
Mistral,qa,base-target,-3.55e+00,1.01e-08,liberty
Mistral,qa,control-target,-1.64e+01,0.00e+00,liberty
Gemma,classification,base-control,-9.59e-01,3.82e-01,tradition
Gemma,classification,base-target,-3.58e+00,3.33e-05,tradition
Gemma,classification,control-target,-2.62e+00,1.35e-02,tradition
Gemma,summarization,base-control,1.86e-01,9.75e-01,tradition
Gemma,summarization,base-target,-6.20e+00,6.26e-11,tradition
Gemma,summarization,control-target,-6.39e+00,4.84e-08,tradition
Gemma,conversational,base-control,-8.04e+00,0.00e+00,tradition
Gemma,conversational,base-target,-5.53e+00,3.00e-13,tradition
Gemma,conversational,control-target,2.51e+00,9.25e-03,tradition
Gemma,qa,base-control,-1.37e+00,1.86e-01,tradition
Gemma,qa,base-target,-1.03e+00,2.48e-01,tradition
Gemma,qa,control-target,3.39e-01,9.16e-01,tradition
Llama,classification,base-control,2.98e+00,5.28e-10,tradition
Llama,classification,base-target,9.21e-01,3.23e-01,tradition
Llama,classification,control-target,-2.06e+00,1.13e-02,tradition
Llama,summarization,base-control,1.01e+00,3.03e-03,tradition
Llama,summarization,base-target,1.15e-01,9.69e-01,tradition
Llama,summarization,control-target,-8.96e-01,1.47e-01,tradition
Llama,conversational,base-control,-3.52e+00,2.19e-11,tradition
