model,task,setup,diff,pval,dependent_var
Llama1B,classification,base-control,-4.11e+00,2.22e-15,output_x
Llama1B,classification,base-target,-5.59e+00,1.07e-14,output_x
Llama1B,classification,control-target,-1.48e+00,0.00e+00,output_x
Llama1B,summarization,base-control,-4.31e+00,3.44e-15,output_x
Llama1B,summarization,base-target,-4.72e+00,3.55e-14,output_x
Llama1B,summarization,control-target,-4.12e-01,3.12e-01,output_x
Llama1B,conversational,base-control,-3.32e+00,3.44e-15,output_x
Llama1B,conversational,base-target,-5.06e+00,0.00e+00,output_x
Llama1B,conversational,control-target,-1.74e+00,2.12e-14,output_x
Llama1B,classification,base-control,-1.12e+00,0.00e+00,output_y
Llama1B,classification,base-target,-1.42e+00,3.22e-14,output_y
Llama1B,classification,control-target,-3.05e-01,8.85e-04,output_y
Llama1B,summarization,base-control,-3.54e-02,9.80e-01,output_y
Llama1B,summarization,base-target,-1.23e+00,8.38e-13,output_y
Llama1B,summarization,control-target,-1.19e+00,4.12e-08,output_y
Llama1B,conversational,base-control,-2.99e-01,1.95e-01,output_y
Llama1B,conversational,base-target,-1.40e+00,0.00e+00,output_y
Llama1B,conversational,control-target,-1.10e+00,5.92e-10,output_y
