model,task,setup,diff,pval,dependent_var
Llama1B,classification,base-control,3.78e+00,2.18e-14,output_x
Llama1B,classification,base-target,-6.46e-01,7.69e-03,output_x
Llama1B,classification,control-target,-4.43e+00,0.00e+00,output_x
Llama1B,summarization,base-control,1.53e+00,3.18e-03,output_x
Llama1B,summarization,base-target,3.01e+00,1.79e-14,output_x
Llama1B,summarization,control-target,1.48e+00,3.78e-03,output_x
Llama1B,conversational,base-control,4.28e-02,9.85e-01,output_x
Llama1B,conversational,base-target,-1.76e+00,6.56e-12,output_x
Llama1B,conversational,control-target,-1.80e+00,4.73e-14,output_x
Llama1B,classification,base-control,6.37e-01,6.46e-04,output_y
Llama1B,classification,base-target,-5.42e-01,4.57e-09,output_y
Llama1B,classification,control-target,-1.18e+00,5.48e-11,output_y
Llama1B,summarization,base-control,1.41e+00,1.17e-07,output_y
Llama1B,summarization,base-target,6.43e-01,2.95e-04,output_y
Llama1B,summarization,control-target,-7.65e-01,8.17e-03,output_y
Llama1B,conversational,base-control,-1.89e-01,4.22e-01,output_y
Llama1B,conversational,base-target,-3.77e-01,2.02e-04,output_y
Llama1B,conversational,control-target,-1.88e-01,3.74e-01,output_y
