Decoding Param,Model,F-stat equality,p-value equality,F-stat nation,p-value nation,F-stat liberty,p-value liberty,F-stat tradition,p-value tradition
tmp,Gemma,1.53e-01,6.96e-01,nan,nan,nan,nan,nan,nan
,Llama,6.20e-01,4.34e-01,nan,nan,nan,nan,nan,nan
,Falcon,3.17e-30,1.00e+00,nan,nan,nan,nan,nan,nan
,Mistral,5.89e-30,1.00e+00,nan,nan,nan,nan,nan,nan
top_k,Gemma,4.22e-01,5.18e-01,nan,nan,nan,nan,nan,nan
,Llama,1.24e-01,7.25e-01,nan,nan,nan,nan,nan,nan
,Falcon,3.07e-29,1.00e+00,nan,nan,nan,nan,nan,nan
,Mistral,6.15e-28,1.00e+00,nan,nan,nan,nan,nan,nan
n_beams,Gemma,1.75e-01,6.77e-01,nan,nan,nan,nan,nan,nan
,Llama,7.04e-03,9.33e-01,nan,nan,nan,nan,nan,nan
,Falcon,1.29e+02,2.88e-16,nan,nan,nan,nan,nan,nan
,Mistral,3.71e+00,5.77e-02,nan,nan,nan,nan,nan,nan
prompt,Gemma,6.62e+01,2.57e-16,nan,nan,nan,nan,nan,nan
,Llama,9.43e+00,3.05e-09,nan,nan,nan,nan,nan,nan
,Falcon,1.38e+00,2.52e-01,nan,nan,nan,nan,nan,nan
,Mistral,1.44e+02,1.47e-14,nan,nan,nan,nan,nan,nan
tmp,Gemma,nan,nan,2.08e-02,8.86e-01,nan,nan,nan,nan
,Llama,nan,nan,2.43e-01,6.24e-01,nan,nan,nan,nan
,Falcon,nan,nan,3.09e-29,1.00e+00,nan,nan,nan,nan
,Mistral,nan,nan,8.92e-31,1.00e+00,nan,nan,nan,nan
top_k,Gemma,nan,nan,5.44e-02,8.16e-01,nan,nan,nan,nan
,Llama,nan,nan,2.48e-01,6.20e-01,nan,nan,nan,nan
,Falcon,nan,nan,8.83e-29,1.00e+00,nan,nan,nan,nan
,Mistral,nan,nan,1.10e-28,1.00e+00,nan,nan,nan,nan
n_beams,Gemma,nan,nan,1.52e-02,9.02e-01,nan,nan,nan,nan
,Llama,nan,nan,3.44e+00,6.74e-02,nan,nan,nan,nan
,Falcon,nan,nan,5.28e+01,2.42e-10,nan,nan,nan,nan
,Mistral,nan,nan,1.45e+00,2.33e-01,nan,nan,nan,nan
prompt,Gemma,nan,nan,7.00e+01,2.05e-28,nan,nan,nan,nan
,Llama,nan,nan,5.78e+00,1.50e-04,nan,nan,nan,nan
,Falcon,nan,nan,2.42e+01,4.24e-10,nan,nan,nan,nan
,Mistral,nan,nan,7.57e+01,6.66e-16,nan,nan,nan,nan
tmp,Gemma,nan,nan,nan,nan,1.59e-02,9.00e-01,nan,nan
,Llama,nan,nan,nan,nan,4.31e-02,8.36e-01,nan,nan
,Falcon,nan,nan,nan,nan,3.33e-29,1.00e+00,nan,nan
,Mistral,nan,nan,nan,nan,2.56e-31,1.00e+00,nan,nan
top_k,Gemma,nan,nan,nan,nan,1.12e-03,9.73e-01,nan,nan
,Llama,nan,nan,nan,nan,5.34e-02,8.18e-01,nan,nan
,Falcon,nan,nan,nan,nan,5.83e-28,1.00e+00,nan,nan
,Mistral,nan,nan,nan,nan,4.40e-28,1.00e+00,nan,nan
n_beams,Gemma,nan,nan,nan,nan,2.91e-01,5.91e-01,nan,nan
,Llama,nan,nan,nan,nan,4.80e+00,3.15e-02,nan,nan
,Falcon,nan,nan,nan,nan,4.37e+01,4.26e-09,nan,nan
,Mistral,nan,nan,nan,nan,1.02e+00,3.16e-01,nan,nan
prompt,Gemma,nan,nan,nan,nan,2.76e+01,7.77e-18,nan,nan
,Llama,nan,nan,nan,nan,2.79e+01,1.08e-11,nan,nan
,Falcon,nan,nan,nan,nan,1.12e+00,3.80e-01,nan,nan
,Mistral,nan,nan,nan,nan,1.23e+02,2.89e-15,nan,nan
tmp,Gemma,nan,nan,nan,nan,nan,nan,4.24e-03,9.48e-01
,Llama,nan,nan,nan,nan,nan,nan,8.46e-01,3.61e-01
,Falcon,nan,nan,nan,nan,nan,nan,2.74e-29,1.00e+00
,Mistral,nan,nan,nan,nan,nan,nan,0.00e+00,1.00e+00
top_k,Gemma,nan,nan,nan,nan,nan,nan,2.44e-02,8.76e-01
,Llama,nan,nan,nan,nan,nan,nan,3.07e-01,5.81e-01
,Falcon,nan,nan,nan,nan,nan,nan,7.20e-29,1.00e+00
,Mistral,nan,nan,nan,nan,nan,nan,2.60e-28,1.00e+00
n_beams,Gemma,nan,nan,nan,nan,nan,nan,3.77e-01,5.41e-01
,Llama,nan,nan,nan,nan,nan,nan,2.58e+00,1.12e-01
,Falcon,nan,nan,nan,nan,nan,nan,6.36e+01,8.37e-11
,Mistral,nan,nan,nan,nan,nan,nan,1.26e+01,6.54e-04
prompt,Gemma,nan,nan,nan,nan,nan,nan,6.97e+01,2.48e-15
,Llama,nan,nan,nan,nan,nan,nan,6.84e+00,5.45e-07
,Falcon,nan,nan,nan,nan,nan,nan,1.31e+01,2.52e-07
,Mistral,nan,nan,nan,nan,nan,nan,2.00e+02,8.22e-23
